MPG,Cyl,Displacement,Horsepower,Weight,Acceleration,Year,CountryCode,Model,Scored Labels
0.584227697,-0.864013555,-0.78855267,-0.428421355,-0.439203209,1.473019366,1.636409637,-0.716641045,chevrolet cavalier,0.226447229
0.969087528,-0.864013555,-0.78855267,-0.506460933,-0.474567287,0.239053174,1.636409637,-0.716641045,pontiac j2000 se hatchback,0.491876199
1.289804055,-0.864013555,-0.922510573,-0.558487318,-1.063968593,0.130173804,0.277357566,-0.716641045,dodge colt m/m,0.481242571
0.840800918,-0.864013555,-1.01819479,-0.740579666,-1.075756619,-0.377929921,-1.35350492,0.526382361,fiat 124b,0.547267396
0.327654476,-0.864013555,-0.702436875,0.221908459,-0.876538977,-1.103792387,-1.625315334,0.526382361,bmw 2002,0.20424818
-1.211784851,1.483947025,1.967152774,1.834726399,1.752190846,-1.46672362,-1.35350492,-0.716641045,pontiac catalina brougham,-1.383083342
0.071081255,-0.864013555,-0.520636863,-0.324368585,-0.13271453,0.311639421,1.636409637,-0.716641045,ford fairmont futura,0.315429479
-0.031548034,-0.864013555,-0.367542116,0.013802919,-0.274170843,0.420518791,0.54916798,-0.716641045,plymouth sapporo,0.03006425
-0.249635272,0.309966735,0.35008951,0.273934844,0.315230463,-0.051291812,0.820978394,-0.716641045,pontiac lemans v6,-0.160698943
-0.057205356,-0.864013555,-0.759847405,-0.246329007,-0.334289776,-0.196464305,-0.266263263,0.526382361,audi 100ls,-0.493449622
1.366776021,-0.864013555,-1.037331634,-1.026724785,-1.181848854,-0.123878059,0.820978394,1.769405766,maxda glc deluxe,1.339987487
-0.057205356,-0.864013555,-0.712005296,-0.194302622,-0.555904667,-0.377929921,-1.081694506,1.769405766,toyouta corona mark ii (sw),0.462521585
2.713785432,-0.864013555,-0.989489525,-0.974698399,-1.32919918,-0.631981784,1.092788808,1.769405766,honda civic 1500 gl,1.534983072
0.327654476,-0.864013555,-0.941647417,-0.922672014,-0.929585095,0.892329393,-1.081694506,0.526382361,renault 12 (sw),0.407007363
1.35394736,-0.864013555,-0.826826357,-0.896658822,-0.863572149,0.493105037,1.636409637,1.769405766,toyota corolla,1.118770078
-1.468358072,1.483947025,1.48873169,1.44452851,1.742760425,-0.740861154,-1.081694506,-0.716641045,oldsmobile delta 88 royale,-1.391681355
-1.211784851,1.483947025,1.182542196,1.184396584,1.484602653,-0.377929921,-0.809884091,-0.716641045,plymouth fury gran sedan,-1.248805284
-0.698638409,0.309966735,-0.224015791,-0.194302622,0.007562981,-0.377929921,-0.266263263,-0.716641045,ford pinto,-0.47623113
-1.08349824,1.483947025,1.871468557,2.224924287,1.028406042,-2.555517318,-1.625315334,-0.716641045,amc ambassador dpl,-1.121220985
0.13522456,-0.864013555,-0.415384224,-0.428421355,-0.280064856,0.166466928,0.277357566,-0.716641045,pontiac sunbird coupe,0.19631122
-0.416407865,0.309966735,0.053468438,-0.428421355,0.097151979,0.565691284,1.364599222,-0.716641045,ford granada gl,0.160154968
0.815143596,-0.864013555,-0.578047393,-0.37639497,-0.314250132,-0.014998689,1.092788808,1.769405766,toyota corona liftback,0.835567579
1.046059495,-0.864013555,-0.712005296,-0.792606051,-0.40383913,1.001208763,1.364599222,1.769405766,mazda 626,0.892650698
2.226296312,-0.864013555,-1.046900055,-1.026724785,-1.022710501,1.327846873,1.092788808,1.769405766,datsun 210,1.081345483
-0.737124392,0.309966735,0.35008951,1.574594473,0.550990985,-0.777154277,0.54916798,-0.716641045,buick regal sport coupe (turbo),-0.725696886
-0.544694476,1.483947025,0.694552691,0.53406677,0.739599403,-0.196464305,0.820978394,-0.716641045,chevrolet malibu classic (sw),-0.472341381
0.071081255,0.309966735,0.053468438,-0.610513703,0.040569454,0.7471569,0.005547151,-0.716641045,ford maverick,-0.442075765
-1.340071461,1.483947025,1.48873169,1.834726399,1.323106695,-0.922326771,-0.809884091,-0.716641045,buick century 350,-1.289667079
-1.08349824,0.309966735,0.608436895,0.143868881,0.886949729,1.255260626,-0.266263263,-0.716641045,amc matador,-1.073347284
-1.340071461,1.483947025,1.967152774,2.224924287,1.702681136,-1.103792387,-1.081694506,-0.716641045,chrysler newport royal,-1.53365435
1.879922463,-0.864013555,-1.008626369,-1.156790747,-1.190100472,1.182674379,1.092788808,1.769405766,toyota corolla tercel,1.22691905
-0.826925019,0.309966735,-0.300563164,0.53406677,0.191456188,-0.704568031,0.54916798,0.526382361,volvo 264gl,-0.049369811
-0.95521163,1.483947025,1.967152774,1.964792362,1.464563009,-1.611896113,0.277357566,-0.716641045,pontiac grand prix lj,-0.96312364
1.828607819,-0.864013555,-1.008626369,-1.104764362,-1.093438658,0.63827753,1.364599222,1.769405766,toyota tercel,1.315208966
1.867093802,-0.864013555,-0.989489525,-0.974698399,-1.158272802,0.239053174,1.636409637,1.769405766,datsun 310 gx,1.417715888
0.327654476,-0.864013555,-0.932078995,-0.766592859,-0.839996096,0.96491564,0.277357566,1.769405766,toyota corolla liftback,0.808462995
-1.340071461,1.483947025,1.029447449,0.63811954,0.225641464,-1.285258003,-0.266263263,-0.716641045,ford mustang ii,-0.25338208
-0.313778577,0.309966735,0.043900016,-0.37639497,-0.388514696,-0.196464305,-1.625315334,-0.716641045,amc gremlin,-0.648176436
-1.08349824,1.483947025,2.244637003,2.433029828,1.607198125,-2.011120469,-1.625315334,-0.716641045,ford galaxie 500,-1.51283069
0.584227697,-0.864013555,-0.836394778,-0.48044774,-0.605414377,-0.014998689,0.005547151,0.526382361,fiat 131,0.487048438
0.404626442,-0.864013555,-0.415384224,-0.532474126,-0.40383913,0.311639421,1.364599222,-0.716641045,buick skylark,0.453617966
-1.019354935,1.483947025,1.48873169,1.704660436,1.399728865,-1.503016743,0.277357566,-0.716641045,chevrolet monte carlo landau,-1.031232241
-1.08349824,1.483947025,1.048584293,1.184396584,1.077915752,-1.103792387,-1.081694506,-0.716641045,amc matador (sw),-0.946563904
