Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
4,14,3500,40,0,1,0.75
2,5,1250,47,1,0,0
4,1,250,4,0,0,0.268429524804482
16,1,250,16,0,0,0
11,8,2000,48,0,0,0.375
11,2,500,21,0,0,0.25
9,2,500,52,0,0,0
3,14,3500,35,0,1,0.75
14,5,1250,26,0,0,0
16,6,1500,81,0,0,0.375
14,7,1750,72,0,0,0.25
2,7,1750,32,1,1,0.75
4,4,1000,34,1,0,0.25
4,6,1500,35,0,0,0.447916666666667
14,7,1750,45,0,0,0.375
2,1,250,2,0,0,0.215443729981774
11,8,2000,52,1,0,0.125
4,2,500,4,0,1,0.504779942279942
14,2,500,14,0,0,0.210515873015873
38,1,250,38,0,0,0
16,14,3500,83,0,0,0
1,9,2250,51,0,0,0.125
21,3,750,26,0,1,0.75
4,16,4000,38,1,1,0.875
2,2,500,2,0,0,0.134259259259259
23,1,250,23,1,0,0
14,1,250,14,0,0,0
1,16,4000,35,1,1,0.75
4,8,2000,26,1,0,0.5
21,2,500,25,0,0,0.125
21,2,500,21,0,0,0.198317307692308
11,14,3500,73,1,0,0.25
11,4,1000,28,0,0,0
16,1,250,16,0,0,0
1,12,3000,35,0,1,0.875
2,4,1000,16,0,0,0.125
4,2,500,4,0,1,0.504779942279942
2,11,2750,46,1,0,0.125
23,3,750,41,0,0,0
2,1,250,2,1,0,0.215443729981774
12,11,2750,23,0,0,0.125
4,7,1750,58,0,0,0.125
13,7,1750,76,0,0,0.375
4,12,3000,88,0,0,0.25
4,1,250,4,1,0,0.268429524804482
7,2,500,16,0,0,0.125
11,7,1750,62,1,0,0
16,4,1000,28,0,0,0
21,3,750,40,0,0,0
9,3,750,14,0,0,0
2,2,500,2,0,0,0.134259259259259
11,9,2250,38,0,0,0.125
12,12,3000,58,0,0,0.125
38,1,250,38,0,0,0
23,1,250,23,0,0,0
3,5,1250,26,0,1,0.625
1,14,3500,95,0,0,0.25
4,6,1500,14,0,0,0.25
16,1,250,16,0,0,0
13,3,750,14,1,0,0.125
2,1,250,2,0,0,0.215443729981774
2,4,1000,16,0,0,0.125
2,3,750,4,1,1,0.910714285714286
16,4,1000,40,0,0,0.375
16,1,250,16,0,0,0
14,8,2000,46,0,0,0.5
2,2,500,4,1,0,0.320436507936508
11,7,1750,37,0,0,0.5
11,6,1500,28,0,0,0
2,5,1250,63,0,0,0
2,4,1000,14,1,0,0.335416666666667
21,1,250,21,0,0,0.12272206959707
23,2,500,23,0,0,0
2,4,1000,35,0,0,0.125
13,8,2000,26,0,0,0
16,1,250,16,0,0,0
4,1,250,4,0,0,0.268429524804482
4,5,1250,11,1,1,1
2,9,2250,22,1,1,0.75
16,7,1750,93,0,1,0.625
14,7,1750,73,0,0,0.25
2,1,250,2,0,0,0.215443729981774
2,11,2750,40,1,1,0.625
14,5,1250,28,1,0,0
16,1,250,16,0,0,0
21,2,500,21,1,0,0.198317307692308
16,3,750,21,0,1,0.75
2,1,250,2,0,0,0.215443729981774
16,3,750,86,0,0,0.125
23,5,1250,58,0,0,0
3,5,1250,12,1,1,0.75
14,1,250,14,0,0,0
3,5,1250,38,0,1,0.625
11,2,500,21,0,0,0.25
16,1,250,16,0,0,0
2,10,2500,52,0,0,0.125
2,12,3000,52,0,1,0.875
11,1,250,11,0,0,0.147028318903319
11,2,500,11,0,0,0.025
4,1,250,4,0,0,0.268429524804482
23,2,500,38,0,0,0
4,1,250,4,0,0,0.268429524804482
2,1,250,2,0,0,0.215443729981774
11,1,250,11,0,0,0.147028318903319
11,5,1250,41,0,0,0.5
4,1,250,4,0,0,0.268429524804482
21,2,500,41,0,0,0
4,10,2500,28,1,1,1
14,2,500,14,0,0,0.210515873015873
4,7,1750,62,0,0,0.25
11,3,750,28,0,0,0
16,1,250,16,0,0,0
14,1,250,14,0,0,0
11,2,500,14,0,0,0.195634920634921
2,4,1000,16,1,0,0.125
12,11,2750,39,0,0,0.125
23,8,2000,69,0,0,0
2,11,2750,79,1,0,0
2,4,1000,26,0,0,0
14,1,250,14,0,0,0
4,4,1000,41,0,1,0.625
23,3,750,33,0,0,0
23,6,1500,45,0,0,0
2,11,2750,26,0,0,0.25
7,10,2500,47,0,0,0.5
16,3,750,50,0,0,0
2,7,1750,28,1,0,0.3125
2,3,750,52,0,0,0.125
21,1,250,21,0,0,0.12272206959707
2,1,250,2,0,0,0.215443729981774
4,10,2500,28,1,1,1
23,1,250,23,0,0,0
4,2,500,13,0,0,0
4,5,1250,74,0,0,0.125
2,8,2000,38,1,1,0.875
14,4,1000,26,0,0,0.125
4,2,500,46,0,1,0.75
0,13,3250,28,1,0,0.5
23,2,500,23,0,0,0
16,7,1750,39,0,0,0.5
11,1,250,11,0,0,0.147028318903319
16,6,1500,35,1,0,0
20,14,3500,69,1,0,0
2,2,500,16,0,0,0
14,13,3250,57,0,0,0
11,1,250,11,1,0,0.147028318903319
4,8,2000,40,1,1,0.75
13,3,750,16,0,0,0.5
4,1,250,4,1,0,0.268429524804482
2,5,1250,16,1,1,0.5625
4,1,250,4,0,0,0.268429524804482
14,3,750,52,0,0,0.125
4,1,250,4,0,0,0.268429524804482
16,5,1250,71,0,0,0.25
4,4,1000,16,0,0,0.208333333333333
14,4,1000,57,0,0,0
2,1,250,2,0,0,0.215443729981774
4,6,1500,28,1,0,0.125
2,13,3250,32,1,1,0.875
23,3,750,35,0,0,0
14,2,500,14,0,0,0.210515873015873
7,5,1250,35,0,0,0.375
16,4,1000,45,0,0,0.25
4,8,2000,21,0,0,0.5
4,3,750,28,0,0,0.1875
8,15,3750,77,0,0,0.125
9,4,1000,65,0,0,0.125
14,8,2000,50,0,1,0.875
2,15,3750,64,0,0,0.125
14,4,1000,28,1,0,0
23,12,3000,86,0,0,0
16,7,1750,64,0,0,0.25
2,3,750,14,0,0,0.125
2,1,250,2,0,0,0.215443729981774
23,3,750,39,0,0,0
14,3,750,79,0,0,0.125
2,6,1500,45,0,0,0.125
21,3,750,70,0,0,0
4,33,8250,98,1,1,0.875
16,3,750,34,0,0,0
14,1,250,14,0,0,0
11,2,500,11,0,0,0.025
4,5,1250,58,0,0,0
14,7,1750,47,0,1,0.625
11,7,1750,29,0,0,0
4,1,250,4,0,0,0.268429524804482
4,5,1250,58,0,0,0
