Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
4,14,3500,40,0,1,0.516565799713135
2,5,1250,47,1,0,0.251346170902252
4,1,250,4,0,0,0.335531949996948
16,1,250,16,0,0,0.109034702181816
11,8,2000,48,0,0,0.17352531850338
11,2,500,21,0,0,0.162611216306686
9,2,500,52,0,0,0.0950114354491234
3,14,3500,35,0,1,0.571403741836548
14,5,1250,26,0,0,0.160085931420326
16,6,1500,81,0,0,0.0418124608695507
14,7,1750,72,0,0,0.0700469985604286
2,7,1750,32,1,0,0.390230178833008
4,4,1000,34,1,0,0.255432993173599
4,6,1500,35,0,0,0.302070528268814
14,7,1750,45,0,0,0.131300404667854
2,1,250,2,0,0,0.390064507722855
11,8,2000,52,1,0,0.159222468733788
4,2,500,4,0,0,0.36489525437355
14,2,500,14,0,0,0.14990821480751
38,1,250,38,0,0,0.00902088824659586
16,14,3500,83,0,0,0.104263991117477
1,9,2250,51,0,0,0.357565611600876
21,3,750,26,0,0,0.0716241598129272
4,16,4000,38,1,1,0.592921674251556
2,2,500,2,0,0,0.421175092458725
23,1,250,23,1,0,0.0508137196302414
14,1,250,14,0,0,0.134189739823341
1,16,4000,35,1,1,0.674892842769623
4,8,2000,26,1,0,0.414079755544662
21,2,500,25,0,0,0.065052293241024
21,2,500,21,0,0,0.0716164484620094
11,14,3500,73,1,0,0.192915618419647
11,4,1000,28,0,0,0.173458755016327
16,1,250,16,0,0,0.109034702181816
1,12,3000,35,0,1,0.553306519985199
2,4,1000,16,0,0,0.396301805973053
4,2,500,4,0,0,0.36489525437355
2,11,2750,46,1,0,0.427731662988663
23,3,750,41,0,0,0.0417437963187695
2,1,250,2,1,0,0.390064507722855
12,11,2750,23,0,0,0.349547952413559
4,7,1750,58,0,0,0.213887929916382
13,7,1750,76,0,0,0.0693428888916969
4,12,3000,88,0,0,0.193092405796051
4,1,250,4,1,0,0.335531949996948
7,2,500,16,0,0,0.2421964854002
11,7,1750,62,1,0,0.113945111632347
16,4,1000,28,0,0,0.116818763315678
21,3,750,40,0,0,0.0510218963027
9,3,750,14,0,0,0.241470515727997
2,2,500,2,0,0,0.421175092458725
11,9,2250,38,0,0,0.236167326569557
12,12,3000,58,0,0,0.198650047183037
38,1,250,38,0,0,0.00902088824659586
23,1,250,23,0,0,0.0508137196302414
3,5,1250,26,0,0,0.344777554273605
1,14,3500,95,0,0,0.254365026950836
4,6,1500,14,0,0,0.426592379808426
16,1,250,16,0,0,0.109034702181816
13,3,750,14,1,0,0.180359750986099
2,1,250,2,0,0,0.390064507722855
2,4,1000,16,0,0,0.396301805973053
2,3,750,4,1,0,0.440175235271454
16,4,1000,40,0,0,0.088471382856369
16,1,250,16,0,0,0.109034702181816
14,8,2000,46,0,0,0.143537491559982
2,2,500,4,1,0,0.408651947975159
11,7,1750,37,0,0,0.196835204958916
11,6,1500,28,0,0,0.213638678193092
2,5,1250,63,0,0,0.181805655360222
2,4,1000,14,1,0,0.408708065748215
21,1,250,21,0,0,0.0634940192103386
23,2,500,23,0,0,0.0574134886264801
2,4,1000,35,0,0,0.286795556545258
13,8,2000,26,0,0,0.235412031412125
16,1,250,16,0,0,0.109034702181816
4,1,250,4,0,0,0.335531949996948
4,5,1250,11,1,0,0.413995236158371
2,9,2250,22,1,1,0.517438530921936
16,7,1750,93,0,0,0.0351517461240292
14,7,1750,73,0,0,0.0683852359652519
2,1,250,2,0,0,0.390064507722855
2,11,2750,40,1,0,0.46596685051918
14,5,1250,28,1,0,0.153270319104195
16,1,250,16,0,0,0.109034702181816
21,2,500,21,1,0,0.0716164484620094
16,3,750,21,0,0,0.122235007584095
2,1,250,2,0,0,0.390064507722855
16,3,750,86,0,0,0.0253798421472311
23,5,1250,58,0,0,0.0350975468754768
3,5,1250,12,1,0,0.430221170186996
14,1,250,14,0,0,0.134189739823341
3,5,1250,38,0,0,0.278560668230057
11,2,500,21,0,0,0.162611216306686
16,1,250,16,0,0,0.109034702181816
2,10,2500,52,0,0,0.360090762376785
2,12,3000,52,0,0,0.421458095312119
11,1,250,11,0,0,0.180928602814674
11,2,500,11,0,0,0.200851857662201
4,1,250,4,0,0,0.335531949996948
23,2,500,38,0,0,0.0397238247096539
4,1,250,4,0,0,0.335531949996948
2,1,250,2,0,0,0.390064507722855
11,1,250,11,0,0,0.180928602814674
11,5,1250,41,0,0,0.145847052335739
4,1,250,4,0,0,0.335531949996948
21,2,500,41,0,0,0.0440232679247856
4,10,2500,28,1,0,0.464923977851868
14,2,500,14,0,0,0.14990821480751
4,7,1750,62,0,0,0.197051376104355
11,3,750,28,0,0,0.155723288655281
16,1,250,16,0,0,0.109034702181816
14,1,250,14,0,0,0.134189739823341
11,2,500,14,0,0,0.18871782720089
2,4,1000,16,1,0,0.396301805973053
12,11,2750,39,0,0,0.262359112501144
23,8,2000,69,0,0,0.0387773960828781
2,11,2750,79,1,0,0.241891279816628
2,4,1000,26,0,0,0.336519002914429
14,1,250,14,0,0,0.134189739823341
4,4,1000,41,0,0,0.22262991964817
23,3,750,33,0,0,0.0508249290287495
23,6,1500,45,0,0,0.0547085292637348
2,11,2750,26,0,1,0.555960357189178
7,10,2500,47,0,0,0.287492513656616
16,3,750,50,0,0,0.0618335641920567
2,7,1750,28,1,0,0.415040701627731
2,3,750,52,0,0,0.185639083385468
21,1,250,21,0,0,0.0634940192103386
2,1,250,2,0,0,0.390064507722855
4,10,2500,28,1,0,0.464923977851868
23,1,250,23,0,0,0.0508137196302414
4,2,500,13,0,0,0.312956690788269
4,5,1250,74,0,0,0.122116036713123
2,8,2000,38,1,0,0.384137451648712
14,4,1000,26,0,0,0.143480435013771
4,2,500,46,0,0,0.162797465920448
0,13,3250,28,1,1,0.649311065673828
23,2,500,23,0,0,0.0574134886264801
16,7,1750,39,0,0,0.127930760383606
11,1,250,11,0,0,0.180928602814674
16,6,1500,35,1,0,0.125067800283432
20,14,3500,69,1,0,0.103505156934261
2,2,500,16,0,0,0.336467176675797
14,13,3250,57,0,0,0.193955957889557
11,1,250,11,1,0,0.180928602814674
4,8,2000,40,1,0,0.329985290765762
13,3,750,16,0,0,0.172858625650406
4,1,250,4,1,0,0.335531949996948
2,5,1250,16,1,0,0.427561193704605
4,1,250,4,0,0,0.335531949996948
14,3,750,52,0,0,0.0700167492032051
4,1,250,4,0,0,0.335531949996948
16,5,1250,71,0,0,0.0472909212112427
4,4,1000,16,0,0,0.353077918291092
14,4,1000,57,0,0,0.070024311542511
2,1,250,2,0,0,0.390064507722855
4,6,1500,28,1,0,0.341437578201294
2,13,3250,32,1,1,0.581319987773895
23,3,750,35,0,0,0.0483930557966232
14,2,500,14,0,0,0.14990821480751
7,5,1250,35,0,0,0.223826393485069
16,4,1000,45,0,0,0.0786076039075851
4,8,2000,21,0,0,0.445677399635315
4,3,750,28,0,0,0.260347366333008
8,15,3750,77,0,0,0.244473800063133
9,4,1000,65,0,0,0.0885817036032677
14,8,2000,50,0,0,0.131313666701317
2,15,3750,64,0,0,0.440518498420715
14,4,1000,28,1,0,0.137256264686584
23,12,3000,86,0,0,0.0417856350541115
16,7,1750,64,0,0,0.0714750811457634
2,3,750,14,0,0,0.377917110919952
2,1,250,2,0,0,0.390064507722855
23,3,750,39,0,0,0.043856929987669
14,3,750,79,0,0,0.036162830889225
2,6,1500,45,0,0,0.286843061447144
21,3,750,70,0,0,0.0241983942687511
4,33,8250,98,1,1,0.735536873340607
16,3,750,34,0,0,0.0905642136931419
14,1,250,14,0,0,0.134189739823341
11,2,500,11,0,0,0.200851857662201
4,5,1250,58,0,0,0.173671528697014
14,7,1750,47,0,0,0.125527203083038
11,7,1750,29,0,0,0.231504559516907
4,1,250,4,0,0,0.335531949996948
4,5,1250,58,0,0,0.173671528697014
